"",gene_symbol,GSM2715271,GSM2715272,GSM2715273,GSM2715274,GSM2715275,GSM2715276,GSM2715277,GSM2715278,GSM2715279
ENSG00000011083,SLC6A7,0,1.0348,0.9907,0,0,0,0,0,0
ENSG00000011105,TSPAN9,0,0,0,0,0,1.024,2.9579,0,0
ENSG00000011114,BTBD7,0.521,0,2.9711,0,0,0.514,1.4619,0.9786,3.8638
ENSG00000011132,APBA3,0,0,3.9648,1.0067,0,0,15.8927,3.0896,4.035
ENSG00000011143,MKS1,0,0,0,0,2.0635,0,20.8022,4.0106,2.0778
ENSG00000011198,ABHD5,0,0,8.9925,0,3.9743,0,24.023,0,3.0346
ENSG00000011201,ANOS1,0,0,0,0,3.9232,0,0,0,0
ENSG00000011243,AKAP8L,0.9801,0,12.9947,0.993,11.9753,2.9011,52.533,12.9866,12.937
ENSG00000011258,MBTD1,0,0,0,0,4.9694,0,2.9396,1.9693,0.9835
ENSG00000011260,UTP18,0,0,6.9784,0.9989,9.0162,3.0145,23.7853,22.8204,13.0856
ENSG00000011275,RNF216,0.9616,0,3.9471,0,2.9631,2.0094,18.5578,5.8875,3.8923
ENSG00000011295,TTC19,0,2.2842,19.8023,1.0116,13.736,0,25.5487,10.8277,18.5761
ENSG00000011304,PTBP1,0,0,12.9646,0,19.6261,1.9837,31.4037,31.9623,25.3707
ENSG00000011332,DPF1,0,0,0,0,0,0,0,0.9951,0
ENSG00000011347,SYT7,0,0,0,0,0,1.0253,0,0,0
ENSG00000011376,LARS2,0,0,0,0,0,0,1.0385,7.9074,1.04
ENSG00000011405,PIK3C2A,0,2.1015,0.9845,0,0.9863,0,24.3943,15.6393,14.4381
ENSG00000011422,PLAUR,0,0.9443,52.937,0,0.9972,1.0018,134.9343,16.9446,43.1504
ENSG00000011426,ANLN,0,0,0,0,4.901,0,7.9226,6.045,6.8582
ENSG00000011451,WIZ,0,0,0.9856,0,0,0,0.9727,0,0
